[2016-08-24][09:36:30] name=1234 product=KCBP licensetype=0x32 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x41, reserved=0, license=0x4fa378, password=
[2016-08-24][11:14:04] name=123 product=KCBP licensetype=0x30 expireddate=0 netaddress=005056C00008 thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x38a378, password=
[2016-08-24][13:04:11] name=ÖĞÉ½Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20170901 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x73ef60, password=
[2016-08-24][13:04:55] name=ÖĞÉ½Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20170901 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x73ef60, password=
[2016-08-25][08:51:12] name=ĞÂ½®¹ÉÈ¨½»Ò×ÏµÍ³ product=KCBP licensetype=0x12 expireddate=20161130 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x738030, password=
[2016-08-25][08:51:45] name=ÖĞÒÕ²Æ¸» product=KCBP licensetype=0x12 expireddate=20160930 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x738030, password=
[2016-08-25][08:52:21] name=Ïã¸ÛÒÕ½»Ëù product=KCBP licensetype=0x12 expireddate=20160930 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x738030, password=
[2016-08-25][08:53:06] name=ËÄ´¨»·½»Ëù product=KCBP licensetype=0x12 expireddate=20160930 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x738030, password=
[2016-08-25][08:53:34] name=ÉÏº£ÔÃÊÀ product=KCBP licensetype=0x12 expireddate=20160930 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x738030, password=
[2016-08-25][08:53:56] name=ºş±±Ê¡¹ÉÈ¨ÍĞ¹ÜÖĞĞÄ product=KCBP licensetype=0x12 expireddate=20170831 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x738030, password=
[2016-08-25][08:56:50] name=ÖĞÒÕ²Æ¸» product=KCBP licensetype=0x12 expireddate=20160930 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x738030, password=
[2016-08-26][10:40:41] name=¸ÊËà¹ÉÈ¨½»Ò×ÏµÍ³ product=KCBP licensetype=0x12 expireddate=20160930 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x8d8030, password=
[2016-08-26][10:40:56] name=ÉÂÎ÷¹ÉÈ¨½»Ò×ÖĞĞÄ product=KCBP licensetype=0x12 expireddate=20160930 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x8d8030, password=
